"Guillaume_1000_lines_1" "Guillaume_1000_lines_2" "Jean_1000_lines_1" "Jean_1000_lines_2"
"croit" 0 0 0.02 0.04
"cui" 0.04 0.02 0 0
"dames" 0 0 0.02 0.04
"danse" 0 0.06 0 0
"déchire" 0.02 0 0.04 0
"degré" 0 0.04 0 0.02
"delez" 0.06 0 0 0
"délicieux" 0.02 0.04 0 0
"demande" 0.06 0 0 0
"désir" 0.02 0.02 0.02 0
"devient" 0.04 0 0.02 0
"devrait" 0 0.02 0 0.04
"die" 0.02 0 0.02 0.02
"dient" 0.02 0 0.04 0
"diex" 0.02 0.04 0 0
"disent" 0.04 0 0.02 0
"doit-il" 0 0 0.02 0.04
"doivent" 0 0 0 0.06
"dolente" 0.04 0 0 0.02
"dormant" 0.04 0 0.02 0
"douleur" 0.06 0 0 0
"doute" 0 0.06 0 0
"douze" 0 0 0.06 0
"drap" 0.02 0 0.04 0
"drois" 0.02 0.02 0 0.02
"druerie" 0 0.04 0 0.02
"dut" 0.02 0 0.02 0.02
"élever" 0 0 0.02 0.04
"emmi" 0.02 0.04 0 0
"engin" 0 0.04 0 0.02
"ens" 0.02 0.04 0 0
"ensuite" 0.02 0.02 0 0.02
"entour" 0 0.04 0.02 0
"entrai" 0 0.06 0 0
"entré" 0 0.06 0 0
"entrepris" 0.02 0.02 0.02 0
"entrer" 0 0.06 0 0
"envis" 0 0.02 0.04 0
"esjoï" 0.02 0.04 0 0
"estes" 0 0 0.06 0
"étais" 0.02 0.04 0 0
"été" 0.04 0 0.02 0
"eut" 0.02 0.04 0 0
"fables" 0.04 0 0 0.02
"façon" 0 0.06 0 0
"façons" 0.04 0.02 0 0
"fais" 0 0.04 0 0.02
"faite" 0.02 0.04 0 0
"faux" 0.02 0 0 0.04
"faveurs" 0 0 0.02 0.04
"féist" 0.02 0.02 0 0.02
"félonie" 0.06 0 0 0
"fera" 0 0 0.04 0.02
"fermail" 0 0 0.02 0.04
"fete" 0.04 0.02 0 0
"feu" 0 0 0.02 0.04
"fiance" 0.02 0 0 0.04
"fier" 0 0 0.04 0.02
"fiere" 0 0.02 0 0.04
"figure" 0.04 0 0 0.02
"filles" 0 0.02 0.04 0
"foi" 0 0 0.02 0.04
"franc" 0 0 0.06 0
"france" 0.02 0.04 0 0
"fremaus" 0 0 0.04 0.02
"froit" 0.04 0.02 0 0
"fussent" 0 0.02 0 0.04
"gracieux" 0 0.06 0 0
"gros" 0 0.04 0 0.02
"guère" 0 0.02 0.04 0
"haie" 0.04 0.02 0 0
"hercule" 0 0 0.06 0
"heure" 0 0.02 0.02 0.02
"hiver" 0.04 0.02 0 0
"hons" 0 0.04 0 0.02
"humains" 0 0 0.02 0.04
"ilec" 0 0.04 0.02 0
"iluec" 0.02 0.04 0 0
"instant" 0.02 0.02 0.02 0
"jaloux" 0 0 0.06 0
"jeune" 0.02 0 0 0.04
"jeunes" 0.02 0.02 0.02 0
"jones" 0.04 0.02 0 0
"joyaux" 0 0 0.02 0.04
"lais" 0 0.04 0.02 0
"lambeaux" 0.02 0.02 0.02 0
"lasse" 0 0.04 0.02 0
"lavai" 0.06 0 0 0
"ledenge" 0 0 0.04 0.02
"ledengier" 0 0 0 0.06
"léesce" 0.02 0.04 0 0
"liesse" 0.02 0.04 0 0
"loges" 0 0 0 0.06
"loisir" 0 0.04 0.02 0
"maigre" 0.06 0 0 0
"maintenant" 0 0.02 0.02 0.02
"maîtres" 0 0 0.04 0.02
"maltalent" 0.02 0 0.04 0
"manteau" 0.04 0 0.02 0
"matin" 0.04 0 0.02 0
"maudite" 0 0.04 0.02 0
"maux" 0.02 0 0.04 0
"méfait" 0.02 0 0.02 0.02
"mélodie" 0 0.06 0 0
"menace" 0 0 0.06 0
"mere" 0 0 0.06 0
"mésaise" 0.02 0 0.04 0
"miex" 0.02 0 0 0.04
"mignot" 0.02 0.04 0 0
"mignotes" 0 0.06 0 0
"milieu" 0.04 0.02 0 0
"mille" 0.02 0 0 0.04
"monstres" 0 0 0.06 0
"morte" 0.02 0.04 0 0
"nonne" 0 0.02 0 0.04
"nos" 0.04 0 0.02 0
"notes" 0 0.06 0 0
"notre" 0.04 0.02 0 0
"o" 0 0.04 0 0.02
"oisel" 0.02 0.04 0 0
"orde" 0 0 0.06 0
"orendroit" 0 0.06 0 0
"orent" 0 0 0.02 0.04
"oublie" 0.02 0.02 0 0.02
"ouïr" 0 0.04 0.02 0
"ouvert" 0 0.06 0 0
"paine" 0.02 0 0.02 0.02
"pâle" 0.04 0.02 0 0
"parler" 0 0.02 0.02 0.02
"parole" 0.02 0.02 0 0.02
"passée" 0.02 0 0.04 0
"peindre" 0.04 0.02 0 0
"perdre" 0 0 0.02 0.04
"père" 0.04 0 0.02 0
"petite" 0 0.06 0 0
"piés" 0 0 0.06 0
"piteus" 0.04 0.02 0 0
"pitié" 0.04 0 0 0.02
"plain" 0.04 0.02 0 0
"plest" 0.04 0.02 0 0
"pooit" 0.04 0 0.02 0
"porter" 0 0 0 0.06
"pourrait" 0 0 0.04 0.02
"povres" 0 0.02 0 0.04
"premiers" 0 0 0.06 0
"prent" 0 0 0.06 0
"prête" 0.02 0 0 0.04
"preuve" 0.04 0 0 0.02
"prit" 0 0.02 0.04 0
"privée" 0 0.02 0 0.04
"pucele" 0 0.06 0 0
"puist" 0 0 0.02 0.04
"quatre" 0.04 0 0.02 0
"quelle" 0 0.04 0.02 0
"quelqu" 0.02 0.02 0 0.02
"r" 0 0.04 0 0.02
"raconter" 0.04 0.02 0 0
"recors" 0.02 0 0.04 0
"redoit" 0 0 0.04 0.02
"rend" 0.02 0 0.02 0.02
"reprendre" 0 0 0 0.06
"retenir" 0 0 0 0.06
"roses" 0 0.06 0 0
"ruer" 0 0.04 0.02 0
"sachez" 0.02 0.04 0 0
"saillir" 0 0 0.04 0.02
"sais" 0 0 0.04 0.02
"sale" 0.06 0 0 0
"santé" 0 0 0 0.06
"saura" 0 0 0 0.06
"savoient" 0 0.04 0.02 0
"science" 0 0 0 0.06
"selonc" 0 0 0.04 0.02
"semblance" 0.06 0 0 0
"semblances" 0.02 0.04 0 0
"serments" 0 0 0.02 0.04
"servir" 0 0 0.02 0.04
"servitude" 0 0.02 0.04 0
"sincère" 0 0 0.04 0.02
"sist" 0 0.06 0 0
"soient" 0 0.02 0.02 0.02
"soir" 0 0 0.02 0.04
"soloit" 0.02 0 0.04 0
"souci" 0 0.02 0.04 0
"su" 0 0.06 0 0
"sus" 0.04 0 0 0.02
"talent" 0.04 0.02 0 0
"tenez" 0 0.02 0.04 0
"tiex" 0.04 0 0 0.02
"tort" 0 0 0 0.06
"tourment" 0.02 0 0.02 0.02
"traits" 0.04 0 0.02 0
"tresses" 0 0.02 0.04 0
"trestous" 0.02 0.02 0.02 0
"tretout" 0 0.04 0.02 0
"triste" 0.02 0 0.02 0.02
"trové" 0 0.02 0.04 0
"uis" 0 0.06 0 0
"vain" 0 0 0.04 0.02
"venez" 0 0.06 0 0
"vent" 0 0 0.02 0.04
"vergiers" 0.02 0.04 0 0
"vérités" 0 0 0.04 0.02
"vertu" 0.02 0.02 0 0.02
"vestue" 0.02 0.02 0.02 0
"vêtu" 0 0.06 0 0
"vêtue" 0.04 0 0.02 0
"vice" 0 0 0.04 0.02
"viés" 0.06 0 0 0
"vieux" 0.02 0.02 0 0.02
"visages" 0 0.04 0 0.02
"vite" 0 0.02 0.02 0.02
"voil" 0.02 0 0 0.04
"voille" 0.02 0 0.04 0
"vuelent" 0 0 0.02 0.04
"yex" 0 0.06 0 0
"aage" 0.04 0 0 0
"abord" 0.02 0 0 0.02
"accordance" 0 0.04 0 0
"acharne" 0 0 0.04 0
"acquiert" 0 0 0.04 0
"advient" 0.02 0 0 0.02
"advint" 0.02 0.02 0 0
"affreuse" 0.02 0 0 0.02
"âge" 0.04 0 0 0
"aguille" 0.04 0 0 0
"aider" 0.02 0 0.02 0
"aigre" 0.04 0 0 0
"aimé" 0.02 0 0.02 0
"aiment" 0 0 0.04 0
"aimèrent" 0 0 0.04 0
"allai" 0.02 0.02 0 0
"allaient" 0 0.02 0 0.02
"aloient" 0 0.02 0.02 0
"amasser" 0.02 0 0 0.02
"amassés" 0 0.04 0 0
"amies" 0 0 0 0.04
"amoreus" 0.04 0 0 0
"amoureux" 0.04 0 0 0
"amours" 0 0 0.02 0.02
"anges" 0 0.04 0 0
"angoisse" 0 0 0 0.04
"anguille" 0 0 0 0.04
"aniaus" 0 0 0.02 0.02
"anneaux" 0 0 0.02 0.02
"aperçus" 0.02 0.02 0 0
"aprendre" 0 0 0 0.04
"apris" 0.02 0 0.02 0
"armes" 0 0 0 0.04
"arreste" 0.04 0 0 0
"arrêt" 0 0.02 0.02 0
"assemblées" 0 0 0.02 0.02
"assembler" 0.02 0 0 0.02
"assemblèrent" 0 0 0 0.04
"assuré" 0 0.02 0.02 0
"ataïne" 0.02 0 0.02 0
"auprès" 0.02 0.02 0 0
"aurais" 0 0.04 0 0
"aurait" 0.02 0.02 0 0
"aurez" 0 0 0.02 0.02
"ausinc" 0.02 0 0.02 0
"avais" 0.04 0 0 0
"aventure" 0.02 0.02 0 0
"avenu" 0.02 0 0.02 0
"avoie" 0.02 0.02 0 0
"avons" 0 0 0 0.04
"baise" 0 0 0 0.04
"baler" 0 0.04 0 0
"bandeaux" 0 0 0.04 0
"baras" 0 0 0.04 0
"barbe" 0 0.04 0 0
"bas" 0 0.04 0 0
"batoit" 0.04 0 0 0
"batre" 0 0 0 0.04
"battait" 0.04 0 0 0
"biax" 0.02 0.02 0 0
"bille" 0 0 0.04 0
"blanches" 0 0.04 0 0
"blasmer" 0.02 0 0 0.02
"blonds" 0 0.04 0 0
"blons" 0 0.04 0 0
"bones" 0 0 0 0.04
"bornes" 0 0 0 0.04
"borse" 0.04 0 0 0
"boucles" 0 0.02 0 0.02
"bourse" 0.04 0 0 0
"braille" 0 0 0.04 0
"brait" 0 0 0.04 0
"branche" 0 0.04 0 0
"ça" 0 0.04 0 0
"camelot" 0 0 0.04 0
"carole" 0 0.04 0 0
"ceci" 0 0.02 0 0.02
"ceinte" 0 0 0.04 0
"ceintures" 0 0 0.04 0
"celles" 0 0 0 0.04
"cependant" 0.02 0.02 0 0
"cercles" 0 0 0.04 0
"certain" 0 0 0 0.04
"ceux-là" 0.02 0 0 0.02
"chansons" 0.02 0.02 0 0
"chantait" 0 0.04 0 0
"chanté" 0 0 0 0.04
"chantoit" 0 0.04 0 0
"chanvre" 0 0 0.04 0
"chape" 0.04 0 0 0
"charmante" 0 0.04 0 0
"chauciés" 0 0.04 0 0
"chaudement" 0.04 0 0 0
"chaussure" 0 0.02 0.02 0
"chemise" 0 0 0.04 0
"chéoir" 0.02 0 0.02 0
"chetive" 0.04 0 0 0
"chevelure" 0.02 0.02 0 0
"chiche" 0 0.02 0 0.02
"chiches" 0 0.02 0 0.02
"chier" 0.02 0 0.02 0
"chieres" 0 0.02 0.02 0
"chiet" 0 0 0 0.04
"choir" 0.02 0 0.02 0
"choses" 0.04 0 0 0
"cis" 0 0.02 0.02 0
"cités" 0 0 0 0.04
"cive" 0.04 0 0 0
"clers" 0.02 0 0 0.02
"close" 0.02 0.02 0 0
"coiffes" 0 0 0.04 0
"colorée" 0 0.04 0 0
"colors" 0.04 0 0 0
"compagnon" 0.02 0 0.02 0
"compaigne" 0.02 0 0.02 0
"compaignon" 0.02 0.02 0 0
"compassa" 0 0 0.04 0
"compte" 0.02 0 0.02 0
"concert" 0 0.02 0.02 0
"congnois" 0 0 0.04 0
"congnoisse" 0 0 0.02 0.02
"connais" 0 0 0.04 0
"connaissait" 0.02 0 0.02 0
"conquerre" 0.02 0 0.02 0
"conté" 0 0.04 0 0
"conterai" 0 0.04 0 0
"conteré" 0.02 0.02 0 0
"contrarier" 0 0 0.04 0
"contrée" 0 0 0.04 0
"coquins" 0 0 0.02 0.02
"corage" 0.04 0 0 0
"cortois" 0 0.02 0 0.02
"coste" 0.04 0 0 0
"costumes" 0.02 0.02 0 0
"cotes" 0 0.02 0 0.02
"coup" 0.04 0 0 0
"coups" 0 0 0.02 0.02
"courir" 0 0.02 0 0.02
"cousant" 0.04 0 0 0
"coustumiere" 0 0.02 0 0.02
"crie" 0 0 0.04 0
"croira" 0 0 0 0.04
"crois" 0.02 0 0.02 0
"cruauté" 0.04 0 0 0
"crus" 0 0.04 0 0
"crut" 0 0.02 0.02 0
"cuir" 0 0 0.04 0
"cuisses" 0 0 0.04 0
"dalila" 0 0 0.04 0
"damoiselle" 0.02 0 0.02 0
"dancier" 0.02 0.02 0 0
"dangier" 0 0 0.02 0.02
"darrenier" 0 0.04 0 0
"débat" 0 0 0.04 0
"dédain" 0.02 0 0 0.02
"dedans" 0 0 0.04 0
"dedens" 0 0.02 0 0.02
"déesse" 0 0 0.04 0
"deffende" 0 0.02 0 0.02
"delà" 0.04 0 0 0
"délaissée" 0.02 0.02 0 0
"délivre" 0 0 0.02 0.02
"demandai" 0 0.04 0 0
"demanderai" 0 0 0.04 0
"denier" 0 0.04 0 0
"dents" 0.04 0 0 0
"depuis" 0 0.04 0 0
"desbrisier" 0 0.04 0 0
"descire" 0 0 0.04 0
"descirée" 0.02 0 0.02 0
"desloiaus" 0 0 0 0.04
"destre" 0.02 0.02 0 0
"desus" 0.02 0.02 0 0
"détourné" 0 0 0 0.04
"déusse" 0 0.02 0.02 0
"déust" 0.02 0.02 0 0
"devenir" 0.04 0 0 0
"devindrent" 0 0 0.02 0.02
"devinrent" 0 0 0.02 0.02
"devons" 0 0 0 0.04
"devra" 0 0 0 0.04
"distance" 0.04 0 0 0
"dites" 0 0 0.04 0
"doi" 0 0.04 0 0
"doigts" 0.02 0 0 0.02
"doint" 0.02 0 0 0.02
"dol" 0.02 0 0.02 0
"dolent" 0.04 0 0 0
"dolor" 0.04 0 0 0
"dommage" 0.02 0 0 0.02
"dorés" 0 0 0.04 0
"doris" 0 0 0.04 0
"doucement" 0 0.04 0 0
"douter" 0 0 0.02 0.02
"douteuse" 0 0.04 0 0
"droite" 0.02 0.02 0 0
"durer" 0.02 0 0.02 0
"écart" 0.02 0.02 0 0
"échapper" 0 0 0 0.04
"échelle" 0 0.04 0 0
"écoule" 0.02 0 0.02 0
"efforce" 0.04 0 0 0
"égaie" 0.04 0 0 0
"éjouir" 0 0.04 0 0
"eles" 0 0.02 0 0.02
"embler" 0.02 0 0 0.02
"empennés" 0 0.04 0 0
"empoisonner" 0 0 0.04 0
"endurer" 0 0 0 0.04
"enfance" 0.04 0 0 0
"enfer" 0 0 0.04 0
"enfuir" 0 0 0.02 0.02
"enjoindre" 0 0 0 0.04
"enlangorée" 0.02 0 0.02 0
"enrager" 0 0 0.04 0
"enseigne" 0 0 0.04 0
"enseignie" 0 0.04 0 0
"entende" 0 0 0 0.04
"entente" 0 0.02 0 0.02
"ententive" 0.02 0.02 0 0
"entor" 0 0.04 0 0
"entrée" 0 0.02 0.02 0
"envi" 0 0.02 0.02 0
"envieuses" 0 0 0.04 0
"épand" 0.04 0 0 0
"épaules" 0 0.02 0.02 0
"ere" 0 0.04 0 0
"erre" 0 0.02 0.02 0
"escient" 0.04 0 0 0
"escouté" 0 0.04 0 0
"escript" 0 0 0 0.04
"espaules" 0 0.02 0.02 0
"était-elle" 0.02 0.02 0 0
"êtes" 0 0 0.04 0
"eu" 0.02 0 0.02 0
"eussent" 0 0 0.02 0.02
"eussiez" 0 0.04 0 0
"evangile" 0 0.04 0 0
"exemple" 0 0 0.02 0.02
"fable" 0 0.04 0 0
"faillir" 0 0 0.02 0.02
"faintes" 0 0.02 0 0.02
"faisait" 0 0.04 0 0
"faisant" 0 0.04 0 0
"faisoit" 0 0.04 0 0
"faites" 0 0 0.04 0
"faites-vous" 0 0.04 0 0
"fames" 0 0 0 0.04
"farcis" 0 0 0 0.04
"fardée" 0 0 0.04 0
"faus" 0.02 0 0 0.02
"fée" 0 0 0 0.04
"feindre" 0 0 0 0.04
"felonnie" 0.04 0 0 0
"félons" 0 0 0.04 0
"femelle" 0.02 0 0.02 0
"fere" 0.04 0 0 0
"ferir" 0 0.04 0 0
"feuillée" 0 0.04 0 0
"fidèle" 0 0 0 0.04
"fière" 0 0.02 0.02 0
"fille" 0 0 0.04 0
"fines" 0 0 0.04 0
"foïr" 0 0 0.02 0.02
"folie" 0 0 0.02 0.02
"folies" 0 0 0 0.04
"folle" 0 0 0.02 0.02
"fontaine" 0.04 0 0 0
"forcenée" 0.04 0 0 0
"forgèrent" 0 0 0 0.04
"forgierent" 0 0 0 0.04
"formaient" 0 0.04 0 0
"frise" 0 0 0.04 0
"froide" 0.04 0 0 0
"fût" 0.04 0 0 0
"fût-il" 0.04 0 0 0
"galant" 0 0 0.02 0.02
"gibet" 0 0 0.04 0
"glaives" 0 0 0 0.04
"gloutons" 0 0 0 0.04
"grace" 0 0 0 0.04
"grâce" 0.02 0 0 0.02
"grasse" 0 0.04 0 0
"grever" 0 0 0 0.04
"gris" 0 0 0.04 0
"grosse" 0 0 0.04 0
"guide" 0 0.02 0.02 0
"haïne" 0.04 0 0 0
"haire" 0 0.04 0 0
"haleine" 0 0.02 0.02 0
"hélas" 0 0 0 0.04
"herbe" 0.02 0.02 0 0
"het" 0 0 0.02 0.02
"hideuse" 0.04 0 0 0
"histoire" 0.02 0.02 0 0
"homs" 0 0.04 0 0
"honnête" 0.02 0 0 0.02
"honneur" 0.02 0 0.02 0
"honor" 0.02 0 0.02 0
"honorer" 0.04 0 0 0
"hore" 0.02 0 0.02 0
"hors" 0.02 0 0.02 0
"huis" 0 0.04 0 0
"humblement" 0 0 0 0.04
"icele" 0.04 0 0 0
"ii" 0.04 0 0 0
"iii" 0 0.04 0 0
"injure" 0 0 0.02 0.02
"inquiétude" 0 0.04 0 0
"inspire" 0.02 0 0 0.02
"instruire" 0 0 0 0.04
"ira" 0 0 0 0.04
"irée" 0.04 0 0 0
"irés" 0 0 0.04 0
"iv" 0 0.04 0 0
"jalous" 0 0 0.04 0
"jambe" 0 0.02 0.02 0
"jardins" 0 0.04 0 0
"jaunir" 0.04 0 0 0
"jeu" 0 0 0 0.04
"jeunesse" 0 0.02 0.02 0
"joiaus" 0 0 0.02 0.02
"joli" 0 0.04 0 0
"jolie" 0 0.02 0.02 0
"jornée" 0 0.04 0 0
"journée" 0 0.04 0 0
"jours" 0 0 0 0.04
"joyeuse" 0 0.02 0.02 0
"jugement" 0 0 0 0.04
"jure" 0 0 0.02 0.02
"juré" 0 0 0.04 0
"jurt" 0 0 0 0.04
"lâche" 0.02 0 0 0.02
"laisse" 0 0 0.02 0.02
"laissons" 0 0 0.04 0
"lance" 0 0 0.04 0
"langoureuse" 0.02 0 0.02 0
"large" 0.02 0 0 0.02
"laverne" 0 0 0.04 0
"léens" 0 0.04 0 0
"léger" 0 0 0.02 0.02
"liberté" 0 0 0.02 0.02
"liens" 0 0 0.04 0
"lier" 0 0 0 0.04
"liés" 0 0.02 0.02 0
"lii" 0 0 0.04 0
"liii" 0 0 0.04 0
"liv" 0 0 0 0.04
"livrée" 0 0 0.04 0
"loer" 0 0 0.02 0.02
"loi" 0 0 0.04 0
"loiaument" 0 0 0.02 0.02
"loiaus" 0 0 0 0.04
"longue" 0 0.04 0 0
"longuement" 0.04 0 0 0
"lons" 0 0.04 0 0
"los" 0.02 0 0 0.02
"loyalement" 0 0 0.02 0.02
"maigreur" 0.04 0 0 0
"maine" 0 0.04 0 0
"maison" 0.02 0 0.02 0
"male-aventure" 0 0 0.04 0
"maniere" 0 0 0.02 0.02
"manière" 0 0.02 0 0.02
"manteaux" 0 0.02 0.02 0
"mantiaus" 0.02 0.02 0 0
"marche" 0 0 0 0.04
"marins" 0 0 0.04 0
"martire" 0.02 0 0 0.02
"martyre" 0.02 0 0 0.02
"matinée" 0.04 0 0 0
"matire" 0.02 0 0 0.02
"mauvaise" 0.04 0 0 0
"mauvis" 0 0.04 0 0
"méchanceté" 0.02 0 0.02 0
"megre" 0.04 0 0 0
"méismement" 0 0 0 0.04
"mençonges" 0.02 0 0 0.02
"mène" 0 0.02 0.02 0
"menoit" 0 0.02 0 0.02
"mensonges" 0.02 0 0 0.02
"menton" 0 0.04 0 0
"mercier" 0 0 0 0.04
"merveilleuse" 0 0 0.04 0
"més" 0.04 0 0 0
"mestier" 0 0 0 0.04
"mestiers" 0 0.02 0 0.02
"métaux" 0 0 0.02 0.02
"miaus" 0 0 0.04 0
"mine" 0.04 0 0 0
"miroir" 0 0.02 0.02 0
"misère" 0.02 0.02 0 0
"miséricorde" 0 0 0.04 0
"mit" 0 0 0.02 0.02
"moindre" 0.02 0 0.02 0
"mondaine" 0 0 0 0.04
"monde" 0 0.02 0 0.02
"morir" 0 0 0.02 0.02
"mouvoir" 0 0.02 0 0.02
"murs" 0.02 0 0 0.02
"nagier" 0 0 0.04 0
"naguère" 0 0.02 0.02 0
"naturel" 0 0 0 0.04
"navires" 0 0 0.04 0
"neis" 0.04 0 0 0
"nel" 0 0.02 0.02 0
"nès" 0 0.02 0.02 0
"nier" 0 0 0 0.04
"noblement" 0 0.04 0 0
"noeve" 0.04 0 0 0
"noire" 0.02 0.02 0 0
"noirs" 0.04 0 0 0
"noise" 0.04 0 0 0
"nommée" 0.04 0 0 0
"note" 0 0 0.04 0
"nouveaux" 0 0 0.02 0.02
"noviaus" 0 0 0.02 0.02
"nue" 0 0.02 0 0.02
"nuë" 0 0.02 0 0.02
"nuës" 0 0 0.04 0
"nueve" 0 0 0.02 0.02
"nuire" 0 0 0.04 0
"obéir" 0 0 0.02 0.02
"oeil" 0.04 0 0 0
"office" 0 0 0 0.04
"oiselés" 0.02 0.02 0 0
"ombre" 0 0.02 0.02 0
"onde" 0.04 0 0 0
"ordre" 0 0.04 0 0
"ore" 0 0.04 0 0
"oreilles" 0.04 0 0 0
"orgueil" 0 0 0.02 0.02
"orguel" 0 0 0.02 0.02
"oripeaux" 0 0 0.04 0
"ors" 0 0 0.02 0.02
"os" 0 0 0.04 0
"ose" 0 0 0.04 0
"pain" 0.04 0 0 0
"painte" 0.04 0 0 0
"paintes" 0 0.04 0 0
"painture" 0.02 0.02 0 0
"paix" 0 0.02 0 0.02
"palais" 0 0 0 0.04
"pale" 0.02 0.02 0 0
"palestiaus" 0.02 0.02 0 0
"papegaus" 0.02 0.02 0 0
"parce" 0 0 0.04 0
"pareil" 0 0 0.04 0
"pareille" 0 0 0.04 0
"parle" 0 0.04 0 0
"parlé" 0 0 0.04 0
"paroit" 0.02 0.02 0 0
"pars" 0 0.02 0 0.02
"parts" 0 0.02 0 0.02
"partuis" 0 0.04 0 0
"parut" 0.04 0 0 0
"passa" 0 0 0.04 0
"passent" 0 0 0.02 0.02
"patois" 0 0.04 0 0
"pavé" 0.04 0 0 0
"payer" 0.02 0 0 0.02
"paysage" 0.04 0 0 0
"pechiés" 0.02 0 0.02 0
"péchiés" 0.02 0 0.02 0
"peintures" 0.02 0.02 0 0
"pèlerinage" 0 0 0.02 0.02
"pelerinages" 0 0 0.02 0.02
"pensé" 0.02 0.02 0 0
"penser" 0.02 0 0.02 0
"perche" 0.04 0 0 0
"perd" 0 0 0.02 0.02
"perdues" 0.04 0 0 0
"pere" 0.02 0 0.02 0
"peres" 0.02 0 0.02 0
"peril" 0 0 0.04 0
"pestel" 0 0 0.04 0
"petitete" 0 0.04 0 0
"peur" 0 0 0 0.04
"peuvent" 0 0 0 0.04
"pieds" 0 0 0.04 0
"pis" 0 0 0.04 0
"piteux" 0 0.04 0 0
"plaint" 0 0 0.04 0
"plaisant" 0.02 0.02 0 0
"plaît" 0.02 0.02 0 0
"pleins" 0 0.02 0 0.02
"plesans" 0 0.02 0 0.02
"poitrines" 0 0 0.04 0
"poli" 0 0.04 0 0
"polies" 0 0 0.04 0
"pomme" 0 0.04 0 0
"pommes" 0 0 0.04 0
"pooient" 0 0.02 0 0.02
"pooir" 0 0 0 0.04
"porchacier" 0 0 0 0.04
"porroit-il" 0 0.02 0.02 0
"portait" 0 0.04 0 0
"portraire" 0.02 0.02 0 0
"portraite" 0.02 0.02 0 0
"potence" 0.04 0 0 0
"pourra" 0 0 0 0.04
"pourtraite" 0.02 0.02 0 0
"poussin" 0 0.02 0.02 0
"pouvaient" 0 0.02 0 0.02
"précieusement" 0 0 0.04 0
"précieuses" 0 0 0.04 0
"précieux" 0 0 0 0.04
"préfère" 0.02 0 0 0.02
"préist" 0.02 0 0 0.02
"prenés" 0 0 0.02 0.02
"prenez" 0 0.02 0.02 0
"présent" 0.04 0 0 0
"pressent" 0.02 0 0 0.02
"preste" 0 0 0 0.04
"preus" 0.02 0.02 0 0
"prie" 0.04 0 0 0
"prix" 0.02 0 0 0.02
"proéce" 0.04 0 0 0
"prouvée" 0 0 0 0.04
"provée" 0 0 0 0.04
"puceles" 0.02 0 0 0.02
"pur" 0.02 0.02 0 0
"pus" 0.02 0.02 0 0
"put" 0 0 0.02 0.02
"putes" 0 0 0.04 0
"querelle" 0 0 0 0.04
"queue" 0 0 0 0.04
"queuë" 0 0 0 0.04
"quex" 0.02 0.02 0 0
"quite" 0 0 0 0.04
"rage" 0.04 0 0 0
"rappelle" 0 0 0.02 0.02
"ravi" 0 0.02 0.02 0
"recelée" 0.02 0 0.02 0
"recevoir" 0 0.02 0.02 0
"recluse" 0 0 0 0.04
"réconforter" 0.02 0 0 0.02
"reconnaissance" 0 0.02 0 0.02
"réduit" 0 0.04 0 0
"refrains" 0 0.04 0 0
"refu" 0.02 0.02 0 0
"regard" 0.04 0 0 0
"religieuse" 0 0 0 0.04
"reluisant" 0.02 0.02 0 0
"remordre" 0 0.04 0 0
"rende" 0 0 0.04 0
"rendre" 0 0 0.02 0.02
"renommée" 0.02 0 0.02 0
"repentance" 0 0 0 0.04
"repentir" 0 0 0.04 0
"repos" 0.04 0 0 0
"reprouche" 0 0 0.02 0.02
"resembloit" 0 0.04 0 0
"restait" 0.04 0 0 0
"retourne" 0.02 0 0 0.02
"riant" 0.02 0.02 0 0
"richeces" 0 0 0 0.04
"richement" 0 0.04 0 0
"richesses" 0 0 0 0.04
"riote" 0 0 0.04 0
"rit" 0.04 0 0 0
"riviere" 0.04 0 0 0
"rois" 0.02 0 0 0.02
"rommanz" 0.04 0 0 0
"rompue" 0.04 0 0 0
"rubis" 0 0 0.04 0
"rue" 0 0 0 0.04
"sagement" 0 0 0 0.04
"sainte" 0.02 0.02 0 0
"saintes" 0 0.04 0 0
"saints" 0 0.04 0 0
"saison" 0.04 0 0 0
"samson" 0 0 0.04 0
"sanson" 0 0 0.04 0
"saphirs" 0 0 0.04 0
"sauraient" 0.02 0 0.02 0
"savoit" 0 0.02 0.02 0
"savons" 0 0 0 0.04
"seigneurs" 0 0 0.02 0.02
"sein" 0.02 0 0.02 0
"seine" 0.02 0 0 0.02
"selon" 0 0 0.02 0.02
"semblables" 0 0 0 0.04
"semblaient" 0 0.04 0 0
"sent" 0 0 0.04 0
"seraines" 0 0.04 0 0
"serés" 0 0 0.02 0.02
"serez" 0 0 0.04 0
"servise" 0 0.04 0 0
"seulement" 0 0.02 0.02 0
"siens" 0 0.04 0 0
"simples" 0 0 0.04 0
"sitôt" 0 0 0.04 0
"soef" 0.02 0.02 0 0
"soin" 0.02 0.02 0 0
"solacier" 0 0.02 0 0.02
"soleil" 0 0 0 0.04
"solement" 0 0.02 0.02 0
"solers" 0 0.02 0.02 0
"solin" 0 0 0.04 0
"sombre" 0.02 0.02 0 0
"sommeil" 0.04 0 0 0
"sorcis" 0 0.04 0 0
"sorpris" 0 0.02 0 0.02
"sorte" 0 0.04 0 0
"sortir" 0.02 0 0.02 0
"soucis" 0.04 0 0 0
"soulas" 0 0.02 0.02 0
"souliers" 0 0 0.04 0
"souple" 0 0.04 0 0
